Message -> La ruta de acceso no tiene un formato válido.
¡Guarde el proyecto actual! | Fecha: 18/10/2021 16:25:01
¡Guarde el proyecto actual! | Fecha: 18/10/2021 16:25:04
Guardado proyecto XML  | Fecha: 18/10/2021 16:25:07
¡Indique un nombre para el proyecto! | Fecha: 18/10/2021 16:25:27
Guardado proyecto XML  | Fecha: 18/10/2021 16:25:34
Guardado proyecto XML  | Fecha: 18/10/2021 16:25:51
Guardado proyecto XML  | Fecha: 18/10/2021 16:26:00
Guardado proyecto XML  | Fecha: 18/10/2021 16:26:42
Guardado proyecto XML  | Fecha: 18/10/2021 16:27:51
Guardado proyecto XML  | Fecha: 18/10/2021 16:28:32
Guardado proyecto XML  | Fecha: 18/10/2021 16:29:26
Guardado proyecto XML  | Fecha: 18/10/2021 16:38:03
Guardado proyecto XML  | Fecha: 18/10/2021 16:38:14
Guardado proyecto XML  | Fecha: 18/10/2021 16:39:40
Guardado proyecto XML  | Fecha: 18/10/2021 16:41:16
Guardado proyecto XML  | Fecha: 18/10/2021 16:42:19
Guardado proyecto XML  | Fecha: 18/10/2021 16:43:57
Guardado proyecto XML  | Fecha: 18/10/2021 16:44:26
Guardado proyecto XML  | Fecha: 18/10/2021 16:46:27
Guardado proyecto XML  | Fecha: 18/10/2021 16:47:12
Guardado proyecto XML  | Fecha: 18/10/2021 16:47:23
Guardado proyecto XML  | Fecha: 18/10/2021 16:51:39
Guardado proyecto XML  | Fecha: 18/10/2021 16:51:56
Guardado proyecto XML  | Fecha: 18/10/2021 16:52:11
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 18/10/2021 16:53:58
Error: Message -> La ruta de acceso no tiene un formato válido. | Fecha: 18/10/2021 16:54:15
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_172322 | Fecha: 18/10/2021 17:23:23
¡Compruebe las rutas de las carpetas de destino! | Fecha: 18/10/2021 17:30:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:32
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:32
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:32
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:32
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:32
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:32
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:32
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:32
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:32
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:32
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:33
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173032 | Fecha: 18/10/2021 17:30:33
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
